DBN,School Name,Borough,District,Grade Span,Enrollment,ELA Students Tested,ELA Mean Scale Score,ELA % Proficient,ELA % Level 4,ELA Proficiency Percentile (NYC Schools),Math Students Tested,Math Mean Scale Score,Math % Proficient,Math % Level 4,Math Proficiency Percentile (NYC Schools),Average % Proficient,Average Proficiency Percentile (NYC Schools),% Asian and Pacific Islander,% Black,% Hispanic,% White,% Multi-Racial,% Native American,% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
03M859,Special Music School,Manhattan,3,K-12,322,85,481.4,97.6,85.9,99.9,74,500.1,100.0,95.9,99.9,98.8,99.9,20.2,5.9,19.9,33.9,18.6,0.3,16.1,0.9,27.0,33.6
07X359,"Leaders of Excellence, Advocacy and Discovery",Bronx,7,3K-7,245,120,478.7,96.7,79.2,99.6,117,488.7,100.0,69.2,99.9,98.3,99.8,0.4,28.2,67.3,4.1,0.0,0.0,26.1,9.0,77.6,80.0
01M539,"New Explorations into Science, Technology and Math",Manhattan,1,K-12,1656,703,478.9,97.2,77.7,99.7,577,496.0,99.1,83.9,99.7,98.1,99.7,38.9,4.2,10.4,36.3,9.7,0.2,14.9,1.2,24.6,27.2
09X004,P.S./M.S. 004 Crotona Park West,Bronx,9,3K-8,241,141,476.9,97.9,74.5,100.0,143,491.5,97.2,80.4,98.7,97.5,99.4,0.0,41.5,56.8,0.8,0.4,0.4,28.6,9.5,>95%,>95%
13K011,P.S. 011 Purvis J. Behan,Brooklyn,13,PK-5,1039,396,479.0,95.7,77.8,99.4,394,492.3,98.2,78.7,99.5,97.0,99.4,4.9,47.4,14.0,21.4,11.9,0.4,12.2,1.0,26.2,35.2
02M077,P.S. 77 Lower Lab School,Manhattan,2,K-5,364,172,476.3,95.3,70.9,99.2,174,491.9,97.7,72.4,99.4,96.5,99.3,43.1,1.4,7.1,36.0,12.1,0.0,10.4,0.5,9.3,15.0
31R009,Naples Street Elementary School,Staten Island,31,PK-5,306,143,473.1,95.8,61.5,99.5,144,486.3,97.2,63.2,98.8,96.5,99.2,28.8,7.8,17.0,44.4,1.6,0.3,34.0,2.0,53.6,46.6
03M334,The Anderson School,Manhattan,3,K-8,525,356,478.5,94.9,78.7,99.0,294,490.6,96.6,76.2,98.5,95.8,98.8,30.5,3.0,12.2,42.1,12.2,0.0,10.5,0.0,10.1,16.6
31R035,P.S. 35 The Clove Valley School,Staten Island,31,K-5,390,183,475.8,95.1,71.0,99.1,184,487.2,96.2,71.2,98.3,95.6,98.7,15.4,8.7,22.1,47.7,6.2,0.0,22.1,5.9,40.5,39.1
30Q300,The 30th Avenue School (G&T Citywide),Queens,30,K-8,530,358,477.8,93.6,77.7,98.7,304,492.1,97.4,76.6,99.1,95.5,98.9,51.7,3.4,12.1,25.1,7.0,0.6,6.0,4.3,28.5,31.6
04M012,Tag Young Scholars,Manhattan,4,K-8,581,415,477.2,94.2,72.0,98.8,359,487.6,94.4,68.0,97.6,94.3,98.2,47.8,11.0,16.7,16.9,6.7,0.7,7.4,2.2,27.9,35.0
28Q196,P.S. 196 Grand Central Parkway,Queens,28,PK-5,721,285,473.8,91.6,63.2,98.6,294,491.0,96.6,75.9,98.5,94.1,98.6,42.9,1.7,18.2,28.6,8.5,0.3,19.0,7.1,21.6,27.7
02M089,P.S. 89,Manhattan,2,PK-5,343,127,468.6,90.6,50.4,98.3,128,483.9,95.3,59.4,98.0,92.9,98.1,16.6,1.7,12.8,52.8,16.0,0.0,19.5,1.5,7.3,9.6
04M171,P.S. 171 Patrick Henry,Manhattan,4,3K-8,701,305,469.1,87.5,50.8,98.0,302,484.5,97.4,59.6,99.0,92.4,98.5,10.1,22.3,56.8,7.6,2.3,0.6,25.1,2.7,77.2,80.0
